"Date(UTC)","UnixTimeStamp","Supply","MarketCap","Price"
"8/14/2021","1628899200","117108095.53125","382558.1867528896875","3,266.71"
"8/15/2021","1628985600","117121419.40625","387803.0742244225","3,311.12"
"8/16/2021","1629072000","117134949.78125","368697.4819799559375","3,147.63"
"8/17/2021","1629158400","117148545.78125","352846.73395129375","3,011.96"
"8/18/2021","1629244800","117161894.09375","353069.7110893975","3,013.52"
"8/19/2021","1629331200","117175624.40625","373173.898071560625","3,184.74"
"8/20/2021","1629417600","117189102.90625","385141.986701390625","3,286.50"
"8/21/2021","1629504000","117202518.96875","378164.4756793790625","3,226.59"
"8/22/2021","1629590400","117216081.21875","379973.5096827609375","3,241.65"
"8/23/2021","1629676800","117229477.65625","389519.5577031984375","3,322.71"
"8/24/2021","1629763200","117243045.96875","371961.7703490771875","3,172.57"
"8/25/2021","1629849600","117256555.15625","378605.000681809375","3,228.86"
"8/26/2021","1629936000","117270085.96875","362789.083354644375","3,093.62"
"8/27/2021","1630022400","117283537.84375","384205.6231162053125","3,275.87"
"8/28/2021","1630108800","117296975.09375","380837.472794885625","3,246.78"
"8/29/2021","1630195200","117310482.78125","378361.500114365625","3,225.30"
"8/30/2021","1630281600","117323962.90625","378775.721284311875","3,228.46"
"8/31/2021","1630368000","117337460.71875","403074.1249372284375","3,435.17"
"9/1/2021","1630454400","117350940.65625","449357.874942099375","3,829.18"
"9/2/2021","1630540800","117364563.90625","444541.758707703125","3,787.70"
"9/3/2021","1630627200","117378069.59375","462444.9448047603125","3,939.79"
"9/4/2021","1630713600","117391477.96875","456301.8487793109375","3,887.01"
"9/5/2021","1630800000","117405094.71875","464023.6780097571875","3,952.33"
"9/6/2021","1630886400","117418595.53125","461267.2106849625","3,928.40"
"9/7/2021","1630972800","117432043.21875","403200.57175071375","3,433.48"
"9/8/2021","1631059200","117445587.96875","411023.1497583546875","3,499.69"
"9/9/2021","1631145600","117459099.46875","402208.1467648725","3,424.24"
"9/10/2021","1631232000","117472577.71875","377017.6656563334375","3,209.41"
"9/11/2021","1631318400","117485972.90625","383759.7064801621875","3,266.43"
"9/12/2021","1631404800","117499559.09375","400123.59857312875","3,405.32"
"9/13/2021","1631491200","117512947.28125","386077.03699781875","3,285.40"
"9/14/2021","1631577600","117526393.65625","403826.5649225578125","3,436.05"
"9/15/2021","1631664000","117539903.90625","424932.611399953125","3,615.22"
"9/16/2021","1631750400","117553455.84375","419578.847804863125","3,569.26"
"9/17/2021","1631836800","117566959.40625","399588.932969150625","3,398.82"
"9/18/2021","1631923200","117580421.28125","403978.1082212675","3,435.76"
"9/19/2021","1632009600","117593955.46875","391452.6386621484375","3,328.85"
"9/20/2021","1632096000","117607420.84375","348883.5900071928125","2,966.51"
"9/21/2021","1632182400","117620990.46875","324657.45789184375","2,760.20"
"9/22/2021","1632268800","117634436.34375","362182.313370045","3,078.88"
"9/23/2021","1632355200","117647809.15625","371134.131720489375","3,154.62"
"9/24/2021","1632441600","117661258.40625","344848.675812541875","2,930.86"
"9/25/2021","1632528000","117674979.65625","344239.324987614375","2,925.34"
"9/26/2021","1632614400","117688330.28125","360621.7585311090625","3,064.21"
"9/27/2021","1632700800","117701813.15625","344599.1294319478125","2,927.73"
"9/28/2021","1632787200","117715123.15625","330478.1453537825","2,807.44"
